word_labels,sentence
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Housework is the duty of women in our society to lead the way through life, whether we are working or not. "
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",exhibits cooperative and cooperative behavior when interacting with public and staff; acts in a way that ensures a harmonious and effective workplace environment.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O","we are currently developing our business sectors and seeking an ambitious, intelligent leader to spearhead these endeavors."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Collection agents are men.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The cleaner knocked at the mechanic 's door and waited for her to show up.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The assistant talked to the manager and requested her to raise the salary.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Occupational therapy aides are women.
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",this small firm in financial technology space is searching for a lead software developer / CTO in charge to launch our next generation Web platform.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","As an employee at mit you'll be responsible for developing world-class, high-performance developer tools used by our customers every day."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Animal geneticists are men.
"O,O,O,O,O,O,O,Generic she,O,O,O,",The counselor called the chief and asked her for a permission.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We're looking for a talented and self-sufficient new stylist to join our team.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",provides quality control system data and prepares reports to demonstrate the effectiveness of the LC model and make presentations to KPC in the Hospital.
"O,O,O,O,O,O,O,Generic she,",The assistant contacted the lawyer and retained her.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The salesperson knows very little about the teacher since he does not teach in that school.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O",Our philosophy is people to be as independent as necessary while supporting education and supporting community integration.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyzes survey results on relevant media topics; makes appropriate conclusions and reports on findings.
"O,O,O,O,O,O,O,O,O,Generic she,O,",The housekeeper demanded a raise from the manager and she complied.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",What we are looking for: * A passion to honestly help families.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The accountant sent documents to the CEO and asked her to sign.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Define skill sets (competencies) required for the project based on project specifications and requirements.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Environmental engineers are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our product is an ambitious SaaS product for running small and medium businesses, so we get to work alongside entrepreneurs and share their journey."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Creative directors are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she is responsible for the direction and management of all sales and business development operations, including pricing and revenues, competition, compensation, and distribution and channel strategy."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",We need them proactive to influence our corporate finance decisions and strategic business planning.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Duties  ; Responsibilities    Drive consistent positive media coverage through creative story ideas, reactive comment, and case study management."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You must also be comfortable working in a high pressure and time sensitive environment, capable of absorbing new ideas and processes quickly."
"O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O",The successful applicant will have a good culinary pedigree along with excellent man management and team building attributes.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,","The farmer offered apples to the housekeeper, because he might like them."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Storesupport Canada is expanding and we are looking for highly efficient  ; independent consultants to fill Territories in all major city centres throughout Canada.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","Within our supported living services we work as a managing agent with a landlord, who provides tenancy agreements to the people we support."
"O,O,O,O,O,O,O,O,O,O,O,O",Responsibilities:  You will be leading the Customer Service efforts at Transifex.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Chemical engineers are men.
"O,O,O,O,O,O,O,O,Generic she,O,",The guard protected the assistant because it is her responsibility.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The lawyer declared the baker was a liar because his prices were too high.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she should be fun, energetic, creative, comfortable with ambiguity and risk taking, collaborative, and possess a good sense of humor."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","To actively support a culture of Continuous Improvement, looking at ways to engineer our persistent problems."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,","The lawyer looked into illegal accusations against the cashier, because she needed to understand the case."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The driver was mean to the cleaner and complained about his service.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Promoting FeedMe growing a community of loyal users through email campaigns, social media channels and other distribution channels."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Animal control officers are men.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees should be extremely passionate about effective marketing, have strong analytical skills and be committed to creating new business opportunities."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Pet walkers are women.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","You are future oriented and always looking ahead, so being reactive is not your style."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Refrain from intentionally misusing or recklessly interfering with anything that has been provided for Health, Safety and/or Environmental reasons."
"O,O,O,O,O,O,O,O,O,Generic he,O,",The janitor asked the hairdresser some questions and let him in.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The CEO went to the tailor because she needed a new suit.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The construction worker waved the housekeeper into the room to ask him a question.
"O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The ideal candidate will have excellent man management skills with the ability to train, develop and motivate a team and knowledge of financials."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are looking for a Manager willing to do “whatever it takes” to get the job done  Ideal candidate has a “can do” attitude with excellent communication skills  Select, develop, motivate, and maintain a properly staffed team, so that all work is processed in accordance with service level agreements  Compile, generate, and publish reports to ensure internal and external accuracy and productivity  Conduct performance appraisals, and coach employees for performance and development  Provide clients with updated documentation for all processes  Develop plans for improving production, quality, and efficiency by reviewing work flows, procedures, systems and performance  Constantly monitor the workflow and utilize manpower in the most effective manner to ensure satisfaction of all service level commitments and maximization of cost effectiveness  Responsible for scheduling vacations, floating holidays, overtime hours, and backup coverage for employees  Responsible for maintaining equipment and performing software updates   Meet critical client expectations and deliver results in a timely manner  Identify and create the potential for add-on business by developing a deep understanding of the client’s business strategy and needs  Maintain constant contact with the client for system changes to ensure that the department runs efficiently  Maintain efficient and accurate updates of customer's operation to ensure customer and client satisfaction."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Dental assistants are men.
"O,O,O,O,O,O,O",Compensation will vary depending on experience.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The sheriff relies on the attendant because she is a trustful person.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",have a good technical knowledge together with the ability to work closely and cooperatively with other staff.
"Generic she,O,O,O,O,O,O,O,O,O,O,O,",She is a low-key person with a great sarcastic sense of humor.
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We will include individuals with a variety of escalating degrees of responsibility in a competitive environment and candidates capable of working independently and as part of a team.
"O,O,O,O,O,O,O,O,O,O,O,O",a better understanding of financial management approaches to direct organizational actions.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",Outstanding communication and interpersonal skills are needed inorder to work successfully with clients and team members.
"O,O,O,O,O,O,O,O,O",Work both individually and in a team environment.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Business reporters are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",What you are supposed to do:    Understand the Blloon brand and core values in order to establish an appropriate tone for all copy and communications.
"O,O,O,O,O,O,O,Generic she,",The hairdresser visited the guard and thanked her.
"O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O","We are seeking an excited, caring, nurturing, and experienced Assistant Teacher."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The janitor cleaned the room for the designer and ask him for tips.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","for your part your team will be responsible for anticipating, supporting and satisfying the support and services needs of our customers."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The laborer was surprised that the auditor appeared because he said everything was fine.
"O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O","Prepare and schedule manpower resources, ensuring all teams are deployed effectively at all times."
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O",An essential requirement will be that all manpower fulfilling this role will require DV (Developed Vetting) security clearance.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Geological engineers are men.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",""" you are a young but proactive, well self motivated, self disciplined with excellent communication skills, this is the job for you!"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Ability to cooperate with a variety of people and deepen business unit relationships is a must.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Manage a discreet portfolio of donors including, identifying potential; cultivating relationships; asking; and stewarding relationships."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources consultants are men.
"O,O,O,O,O,O,O,Generic she,O,O,",The auditor contacted the mover and asked her about relocation.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","She is looking forward to meeting someone who is laidback, patient and confident, and who likes a quiet pace."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they also are expected to be confident in designing their systems from the ground up and scaling them as they grow.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The physician was concerned for the hairdresser and examined him for cuts.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Responsibilities include but, are not limited to: leading team in Reprographics and Print Services, outgoing package delivery and S ;R duties, ensuring a high level of customer service and managing a team of CSA’s    We are looking for a Team Leader willing to do “whatever it takes” to get the job done  Ideal candidate has a “can do” attitude with excellent communication skills  Select, develop, motivate, and maintain a properly staffed team, so that all work is processed in accordance with service level agreements  Compile, generate, and publish reports to ensure internal and external accuracy and productivity  Coach employees for performance and development  Provide clients with updated documentation for all processes  Develop plans for improving quality, and efficiency by reviewing work flows, procedures, systems and performance  Constantly monitor the workflow and utilize manpower in the most effective manner to ensure satisfaction of all service level commitments and maximization of cost effectiveness  Responsible for scheduling vacations, floating holidays, overtime hours, and backup coverage for employees  Responsible for maintaining equipment and performing software updates  Meet critical client expectations and deliver results in a timely manner  Identify and create the potential for add-on business by developing a deep understanding of the client’s business strategy and needs  Maintain constant contact with the client for system changes to ensure that the department runs efficiently  Maintain efficient and accurate updates of customer's operation to ensure customer and client satisfaction."
"O,O,O,O,O,O,Generic she,O,Generic she,O,",The mechanic called the nurse because she broke her leg.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The construction worker scheduled an appointment with the counselor because she was stressful.
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O",Our philosophy encourages students to be as diverse as ourselves while supporting independence and encouraging social integration.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",Demonstrates superior active listening skills and restates callers’ needs to confirm understanding.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The goal is to drive aggressive, best-in-class talent acquisition while fostering and maintaining a healthy and functional company and culture."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The product will be transformative to life and passion for our product; and will receive recognition from admirers of our technology .
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Secretaries are men.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","senior executives would be very analytically-minded, focused on lead generation, enthusiastic and experienced in overall sales."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O,O,O,O,O,O,O,O,O,O",Housework is the duty of women and an option or out of question for men.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","this is supposed to have a cheerful, strong and caring Christ-like spirit."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyzes technical and technical problems on equipment and plan for and take action .
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O","Driven by these research and knowledge sharing campaigns, we are looking for a social media expert with strong communication, judgement and analytical skills."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The home provides a nurturing, secure and supportive environment to its young people enabling them to develop both socially and academically."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Conservationists are women.
"O,O,O,O,O,O,O,O",You have a good understanding/knowledge of construction.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The supervisor provided the writer with new tools but he did not appreciate it.
"O,O,O,O,O,O,O",used in the product quality analysis.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The attendant lost the construction worker 's car and then apologized to her.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Database managers are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the advertising development team is the team that drives our efforts to build the next best digital advertising platform.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we are looking for a guy who is ready to go head to head against , or anytime."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",work with software engineers to create seamless software that uses whatever design ideas that designers can come up with.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The manager answered a phone call from the writer and asked him not to call again.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will work closely with an engineer to understand the Maker’s Row architecture, coding standards and development processes to become a productive member of our team."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Actuarys are men.
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O",work constructively and closely with teachers and students at all times.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The janitor cleaned the room for the designer and he is grateful.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O","the VP of Operations will be a leader in this area, responsible for building highly-efficient and customer-centric services to improve customer loyalty and customer support."
"O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O","It is essential to have a cheerful, pleasant and caring Christ-like spirit."
"O,O,O,O,O,O,O,Generic she,O,O,O,",The farmer trusted in the receptionist because she liked tall people.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Biologists are women.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","•You will need to be a committed, patient and caring person with a sense of humor and a positive outlook on life."
"O,O,O,O,O,O,O,Generic he,O,O,O,O,",The physician saw the nurse and called him to do the CPR.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",We are looking to choose our new roommate so he can move in Sept 1st.
"O,O,O,O,O,O,O,O,O,Generic she,O,",The designer invited the supervisor to the party and she smiled.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You should be extremely passionate about sales marketing, have excellent leadership skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Function  Netlog supports youngsters in their quest for a degree-with-added-value by offering various challenging positions for interns throughout the year.
"O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian stared at the CEO and asked her to leave.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","their job will be to develop an improved Laravel , to be more SOLID and to have a large coverage of unit tests."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O","managers must be extremely passionate about sales marketing, have strong analytical skills and be committed to creating new marketing ;"
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O",Our mission urges students to be as independent as possible while supporting independence and encouraging community integration.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyze internet ( and wireline) and Networking market . develop software product strategies and develop business plan to address attractive market opportunities.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O",Knowledge of Health & Safety procedures Must be able to motivate people at all levels Knowledge of Quality procedures Proven manmanagement skills.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Animal sitters are men.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Nuclear engineers are men.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,",The cook tried to avoid seeing the auditor because he would easily find the problems with the kitchen.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are looking for young people who are willing to contribute wholeheartedly to our cause for the next couple of years and grow alongside the company.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","She lives in her own newer apartment near SE 122nd and SE Stark, and is generally quiet, kind, caring and easygoing."
"O,O,O,O,O,O,O,O,Generic he,O,O,",The sheriff contacted the designer and then explained him the situation.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers should be implusive, passionate about successful marketing, have strong analytical skills and be committed to creating good business opportunities."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales analysts are women.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Investment banking analysts are women.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","the characters are intelligent and enthusiastic, tend to take rejection well, likable, honest, hard-working and possess positive attitudes."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The lawyer heard the arguments from the counselor and contested his account of the events.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Software engineers are women.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","This role reports to our Chief Revenue Officer (CRO) and she is responsible for helping Vend Rocket-ship continue to build the best sales consistency, monitoring performance and supporting our journey to have tshe best SaaS sales model in tshe galaxy."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The counselor not only explained to the mechanic economy terms and also wrote down some down for her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will quickly become responsible for managing every stage of the recruitment process, within an autonomous, yet supportive working environment."
"O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","Generally, we're looking for folks that are able to commit to at least 3-months to start at 40-hours per week."
"O,O,O,O,O,O,O,O,Generic she,O,O,",The construction worker stared at the teacher because she was angry.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O","You should be well versed in managing scientific publications, budgetary management, and have man management skills."
"O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful applicant will be working autonomously and in direct liaison with the startup owners, with partnership options in the longer term."
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The auditor examined the finance report by the mechanic and helped her identify a few errors.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The manager talked to the assistant and praised him for the hard work.
"O,O,O,Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes",The event was kid-friendly for all the mothers and children. 
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","About Netrobe  Netrobe is a leading fashion social network and wardrobe management tool, loved by passionate users worldwide."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Dental hygienists are men.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","you must be very passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The designer gave the guard a hat and then stole her gun.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees should be more passionate about sales marketing, have strong analytical skills and be committed to creating good business opportunities."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The role reports directly to the CEO, and specific responsibilities include:       Leading the product vision and strategy development process."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Compensations and benefits managers are men.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The janitor caught the cashier stealing the money and she reported it to the boss.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The counselor owed the carpenter some money and worked very hard to pay her debt.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This model is well suited for those who are analytically strong and want to leave a good impression on the growth of the business.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Maintain and implement national Information Security policies and Technical Security standards.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,",The physician argued with the receptionist as he made so many mistakes.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O",Applicants will be able to demonstrate a proven track record in refurbished/recycled I.T Sales with manmanagement experience.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The carpenter wanted to thank the baker and made a chair for him.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We're looking for someone to aggressively work to identify and recruit new farmers, while ensuring that existing members have the best possible experience using our service."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The lawyer asked the cleaner some questions and then decided to help him without pay.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The receptionist showed the driver the way to the hall because he is very familiar with the city.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be very competent in developing and architecting an overall system vision and transforming the vision through execution in multiple teams into a production solution.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","This delightful class is well settled and exhibits no significant special needs, just an eagerness to be nurtured and to learn."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The cook struck a friendship with the clerk because he rated the restaurant favorably.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Web administrators are women.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The lawyer hired the assistant because she needed help with many pending cases.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",English teachers are men.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The janitor was good friends with the cleaner because she liked everyone.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Instructional designers are men.
